ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
RWA,Rwanda,Climate Watch,Total including LUCF,All GHG,MtCO?‚e,8.04,7.64,7.67,7.37,7.18,6.99,7.17,6.49,6.5,6.31,6.15,7.16,6.88,6.75,6.54,6.4,6.12,6.06,5.95,5.85,5.63,5.7,5.86,5.64,5.64,5.27,5.07,4.88,5.05,5.13,5.2,5.22
RWA,Rwanda,Climate Watch,Total excluding LUCF,All GHG,MtCO?‚e,6.78,6.38,6.4,6.11,5.9,5.7,5.81,5.13,5.12,4.94,4.78,4.89,4.61,4.48,4.27,4.14,3.86,3.8,3.69,3.58,3.36,3.2,3.36,3.12,3.13,2.77,2.57,2.4,2.57,2.65,2.72,2.75
RWA,Rwanda,Climate Watch,Agriculture,All GHG,MtCO?‚e,3.62,3.49,3.51,3.31,3.31,3.26,3.46,2.96,3.01,2.96,2.92,3.1,2.9,2.83,2.65,2.49,2.25,2.12,1.96,1.73,1.64,1.51,1.5,1.33,1.2,1.13,1.02,1.22,1.31,1.37,1.42,1.37
RWA,Rwanda,Climate Watch,Energy,All GHG,MtCO?‚e,2.33,2.15,2.18,2.13,1.96,1.86,1.83,1.7,1.68,1.57,1.47,1.42,1.37,1.31,1.3,1.35,1.33,1.38,1.4,1.52,1.4,1.39,1.58,1.52,1.67,1.42,1.36,0.98,1.04,1.05,1.06,1.12
RWA,Rwanda,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO?‚e,1.26,1.26,1.26,1.27,1.27,1.29,1.37,1.37,1.37,1.37,1.37,2.27,2.27,2.27,2.27,2.26,2.26,2.26,2.26,2.27,2.27,2.5,2.5,2.52,2.51,2.5,2.5,2.48,2.48,2.48,2.48,2.48
RWA,Rwanda,Climate Watch,Building,All GHG,MtCO?‚e,1.06,1.02,0.96,0.94,0.9,0.89,0.88,0.87,0.88,0.86,0.83,0.82,0.8,0.77,0.75,0.74,0.72,0.83,0.83,0.84,0.83,0.83,1.14,1.1,1.25,1,0.93,0.54,0.6,0.61,0.62,0.64
RWA,Rwanda,Climate Watch,Transportation,All GHG,MtCO?‚e,0.66,0.6,0.63,0.54,0.58,0.58,0.64,0.54,0.5,0.42,0.39,0.31,0.31,0.3,0.3,0.33,0.34,0.31,0.32,0.38,0.31,0.31,0.38,0.36,0.37,0.36,0.36,0.37,0.36,0.35,0.34,0.36
RWA,Rwanda,Climate Watch,Industrial Processes,All GHG,MtCO?‚e,0.5,0.42,0.39,0.36,0.33,0.29,0.23,0.19,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.01,0.01,0.03,0.03,0.03,0.03
RWA,Rwanda,Climate Watch,Waste,All GHG,MtCO?‚e,0.33,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.22,0.24,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.18,0.19,0.2,0.21,0.21,0.22
RWA,Rwanda,Climate Watch,Electricity/Heat,All GHG,MtCO?‚e,0.31,0.22,0.28,0.32,0.27,0.21,0.16,0.15,0.17,0.16,0.13,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.21,0.17,0.17,0,0,0,0,0,0,0,0,0,0
RWA,Rwanda,Climate Watch,Manufacturing/Construction,All GHG,MtCO?‚e,0.29,0.29,0.3,0.32,0.2,0.17,0.14,0.11,0.11,0.11,0.09,0.09,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.11
RWA,Rwanda,Climate Watch,Bunker Fuels,All GHG,MtCO?‚e,0.12,0.09,0.18,0.16,0.16,0.14,0.14,0.11,0.11,0.11,0.1,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
RWA,Rwanda,Climate Watch,Other Fuel Combustion,All GHG,MtCO?‚e,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0.02
RWA,Rwanda,Climate Watch,Fugitive Emissions,All GHG,MtCO?‚e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
